
78	2013	120	BOS	NJ	1	1	2	11	-2	4	4	10	-1	17565
79	2013	120	BUF	TOR	0	-1	8	3	7	0	12	0	1	18801
80	2013	120	NYR	PHI	1	1	1	16	7	-6	6	8	0	17200
83	2013	120	PIT	NYI	0	-3	14	11	-2	9	-15	6	-2	18657
84	2013	120	TB	FLA	1	3	5	-8	7	7	-22	1	2	19204
85	2013	120	DET	DAL	1	3	1	4	3	7	0	1	1	20066
86	2013	120	MIN	CBJ	1	1	7	0	10	2	4	-6	-1	17584
87	2013	120	SJ	ANA	1	1	-12	3	1	4	2	7	0	17562
89	2013	121	MIN	CHI	1	1	-7	1	0	-5	-4	7	0	18550
90	2013	121	PHO	EDM	0	-1	7	2	3	3	2	20	0	12955
91	2013	121	VAN	COL	1	3	-1	2	4	3	-2	1	1	18910
92	2013	122	BOS	BUF	0	-3	10	9	7	10	0	-3	-1	17565
93	2013	122	TOR	WSH	1	1	18	12	-1	2	-10	11	0	19374
94	2013	122	NJ	NYI	0	-1	-3	-7	-2	12	0	8	-3	17625
95	2013	122	NYR	PIT	0	-3	-1	0	3	-3	4	12	-1	17200
96	2013	122	CBJ	STL	0	-3	0	-3	9	-2	-8	-5	-1	11155
97	2013	122	FLA	WPG	1	3	9	5	2	5	-16	-8	3	15731
98	2013	122	CGY	COL	0	-3	6	3	5	6	-2	-2	-1	19289
99	2013	122	LA	NSH	0	-1	10	-7	3	2	-6	7	1	18118
100	2013	122	SJ	EDM	1	1	10	9	4	6	-4	2	0	17562
101	2013	123	WSH	PHI	1	1	-5	-7	9	2	-2	-9	0	18506
102	2013	123	CAR	OTT	1	1	2	6	1	1	0	-1	0	18680
103	2013	123	TB	WPG	1	5	-4	9	2	0	-17	-2	1	19204
104	2013	123	DET	STL	1	2	5	9	-2	7	-10	-5	0	20066
105	2013	123	DAL	PHO	1	1	-10	8	-1	2	-8	-2	0	18101
106	2013	123	VAN	CHI	1	1	-6	-5	4	0	2	16	0	18910
107	2013	123	ANA	MIN	1	2	4	-5	0	4	-2	12	1	13007
108	2013	124	PIT	NJ	1	4	14	11	-3	3	-2	6	0	18635
110	2013	124	COL	EDM	1	2	14	4	3	1	-6	9	0	16119
111	2013	124	TOR	BOS	0	-1	-13	-2	3	1	-2	15	0	19246
112	2013	124	PHI	CAR	1	2	-18	-6	5	6	8	9	2	19691
113	2013	124	TB	NYR	0	-1	2	11	6	6	2	1	1	19204
114	2013	124	CBJ	DET	1	2	-6	-4	6	-1	4	18	1	17612
115	2013	124	PHO	DAL	1	2	17	0	3	6	-12	6	1	12151
116	2013	124	CGY	CHI	0	-1	28	5	3	7	-6	-6	1	19289
117	2013	124	ANA	LA	1	3	-9	3	1	2	0	-6	1	17436
118	2013	124	SJ	NSH	0	-1	3	-4	4	6	2	-6	1	17562
119	2013	125	WSH	PIT	0	-3	-2	1	5	12	-2	-14	-1	18506
121	2013	125	BUF	FLA	0	-1	-13	-10	8	3	4	7	-1	18831
122	2013	125	NYI	NJ	0	-3	-5	6	-3	6	-6	5	-1	11558
123	2013	126	TOR	CAR	0	-3	3	5	1	-3	-2	11	-2	19072
124	2013	126	COL	DAL	0	-1	5	10	-5	6	0	14	1	13441
125	2013	126	PHO	MIN	1	1	12	1	3	4	2	2	0	9508
126	2013	126	EDM	VAN	0	-1	-15	-18	-6	-4	0	-2	1	16839
127	2013	126	ANA	SJ	1	1	6	-9	-3	2	-10	4	0	14324
128	2013	127	NJ	NYR	1	2	-3	-7	6	9	2	1	1	17625
129	2013	127	NYI	PIT	0	-2	8	-3	-3	3	-8	-8	-1	11318
130	2013	127	WSH	TOR	0	-1	5	-6	-6	-1	-2	3	2	18506
131	2013	127	CBJ	LA	0	-2	-11	11	0	1	-1	4	-1	11019
133	2013	127	PHI	TB	1	1	2	-9	2	0	4	3	0	19616
134	2013	127	DET	CGY	0	-3	3	0	-1	-1	2	-3	-1	20066
135	2013	127	WPG	FLA	1	1	2	11	3	0	-4	6	1	15004
136	2013	127	STL	NSH	0	-5	13	3	0	1	-6	11	0	15206
137	2013	127	SJ	CHI	0	-2	2	8	-2	5	-4	5	0	17562
139	2013	128	COL	ANA	0	-3	11	7	6	10	16	24	-1	13776
140	2013	128	EDM	DAL	0	-1	1	-2	-1	6	-2	-2	0	16839
141	2013	129	BUF	MTL	1	1	8	2	-2	2	-6	-5	0	18866
142	2013	129	NJ	TB	1	2	8	-3	4	11	0	6	2	14802
143	2013	129	NYR	NYI	1	3	-3	-1	-3	6	4	11	1	17200
144	2013	129	PHI	FLA	0	-1	8	2	2	4	0	0	0	19616
145	2013	129	PIT	WSH	1	3	3	8	1	3	-4	8	2	18650
146	2013	129	CBJ	CGY	0	-1	-1	3	3	3	0	3	0	10484
148	2013	129	WPG	TOR	0	-1	7	-10	0	-4	0	1	-1	15004
149	2013	129	STL	DET	0	-4	-2	-1	4	4	-11	11	1	17699
150	2013	129	NSH	LA	1	3	-18	1	4	4	0	-8	1	17113
151	2013	129	MIN	VAN	0	-3	1	-9	3	8	22	12	0	18352
152	2013	129	PHO	CHI	0	-4	-9	-9	0	-7	24	19	-1	15096
153	2013	130	DAL	ANA	1	2	7	4	6	2	-15	-4	2	18112
154	2013	206	BOS	TB	1	2	-6	14	1	4	4	-2	0	17565
155	2013	131	NJ	PIT	1	2	3	-1	4	4	-8	6	1	17625
156	2013	131	PHI	CAR	1	1	-1	5	-5	2	-11	16	0	19691
158	2013	131	DET	EDM	1	1	6	11	4	-1	-10	10	1	20066
159	2013	131	SJ	PHO	0	-1	12	-3	-5	6	-2	-3	0	17562
161	2013	131	NYI	BUF	0	-1	28	3	0	6	-2	4	0	12608
162	2013	131	WSH	FLA	1	5	-2	1	5	-1	0	-1	1	18506
